"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Package funModeling: data cleaning, importance variable analysis and model perfomance https://t.co/AozWtIHiYV #Rstats",FALSE,1,NA,2016-02-23 10:41:38,FALSE,NA,"702080872049147904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kamromero",0,FALSE,FALSE,NA,NA
"Submit an abstract for #EARL2016 #rstats conference? Check out last years agenda https://t.co/JJ3RVx3eFO #analytics https://t.co/gNKzOPXRUc",FALSE,0,NA,2016-02-23 10:41:01,FALSE,NA,"702080715974844416",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","earlconf",0,FALSE,FALSE,NA,NA
"Advanced #rstats programming course (https://t.co/YZqOtSt3ND)",FALSE,0,NA,2016-02-23 10:40:20,FALSE,NA,"702080542636949504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","csgillespie",0,FALSE,FALSE,NA,NA
"Do you have a talk waiting to be heard? Call for Abstracts! #EARL2016 R Conference #rstats https://t.co/lvS7qgNZhH https://t.co/2QrwDwpuwf",FALSE,0,NA,2016-02-23 10:37:01,FALSE,NA,"702079711254450176",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MangoTheCat",0,FALSE,FALSE,NA,NA
"Integrating Python and R into a Data Analysis Pipeline  Part 1 https://t.co/bkJD9OgiTC #python #rstats #R #blog https://t.co/d6itpMYz9m",FALSE,1,NA,2016-02-23 10:37:00,FALSE,NA,"702079707295064064",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MangoTheCat",0,FALSE,FALSE,NA,NA
"Hive plots coming to #ggraph - stay tuned. #ggplot2 #rstats #dataviz @MKrzywinski https://t.co/o8fH1ycaBr",FALSE,1,NA,2016-02-23 10:28:26,FALSE,NA,"702077548277186560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thomasp85",0,FALSE,FALSE,NA,NA
"magrittr: The best thing to have ever happened to R? https://t.co/GpotFzoyCv #rstats #R",FALSE,0,NA,2016-02-23 10:28:00,FALSE,NA,"702077441095827456",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MangoTheCat",0,FALSE,FALSE,NA,NA
"RT @dataiku: 600 websites about R: https://t.co/qGfZPwfn49 #Rstats #DataScience #Statistics #MachineLearning | RT @KirkDBorne https://t.co/…",FALSE,0,NA,2016-02-23 10:24:40,FALSE,NA,"702076601710858240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhilChiberre",2,TRUE,FALSE,NA,NA
"RT @plotlygraphs: Tutorial on using #jupyter notebook with the R kernel:

https://t.co/FMsqFWx0td

#rstats #jupyterday https://t.co/MMg9cIs…",FALSE,0,NA,2016-02-23 10:18:40,FALSE,NA,"702075090972844032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reshamas",10,TRUE,FALSE,NA,NA
"RT @plotlygraphs: Check out the plotly build of the official ggplot2 docs:
https://t.co/HBaUOeH6FB
#ggplot2 #rstats https://t.co/aEtHh57c30",FALSE,0,NA,2016-02-23 10:18:39,FALSE,NA,"702075085780168705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sinhrks",4,TRUE,FALSE,NA,NA
