Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United Kingdom,270,100.00%,270,78.52%,1.42,00:00:01,0.00%,0,$0.00
Russia,163,5.52%,9,14.11%,1.88,00:04:54,0.00%,0,$0.00
China,122,15.57%,19,75.41%,1.36,00:02:09,0.00%,0,$0.00
United States,96,77.08%,74,64.58%,1.69,00:01:21,0.00%,0,$0.00
(not set),56,100.00%,56,55.36%,1.89,00:00:00,0.00%,0,$0.00
Italy,33,96.97%,32,18.18%,2.61,00:00:00,0.00%,0,$0.00
Austria,19,100.00%,19,5.26%,2.79,00:00:06,0.00%,0,$0.00
Iraq,18,100.00%,18,100.00%,1,00:00:00,0.00%,0,$0.00
Germany,17,100.00%,17,41.18%,2.12,00:00:00,0.00%,0,$0.00
Saudi Arabia,10,100.00%,10,0.00%,2.9,00:00:00,0.00%,0,$0.00
India,8,100.00%,8,75.00%,1.5,00:04:12,0.00%,0,$0.00
Japan,8,50.00%,4,62.50%,1.5,00:01:30,0.00%,0,$0.00
France,6,100.00%,6,83.33%,1.33,00:00:03,0.00%,0,$0.00
Brazil,4,100.00%,4,100.00%,1,00:00:00,0.00%,0,$0.00
Spain,4,100.00%,4,25.00%,2,00:02:43,0.00%,0,$0.00
Mexico,4,50.00%,2,75.00%,1.75,00:01:38,0.00%,0,$0.00
Kenya,3,33.33%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Serbia,3,66.67%,2,66.67%,1.33,00:00:12,0.00%,0,$0.00
Oman,2,50.00%,1,50.00%,2,00:01:14,0.00%,0,$0.00
Poland,2,50.00%,1,50.00%,1.5,00:00:03,0.00%,0,$0.00
Slovenia,2,100.00%,2,50.00%,1.5,00:00:10,0.00%,0,$0.00
Vietnam,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00
Belgium,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
Canada,1,100.00%,1,0.00%,2,00:00:41,0.00%,0,$0.00
Switzerland,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Colombia,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Hong Kong,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Hungary,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Ireland,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
South Korea,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Sri Lanka,1,0.00%,0,0.00%,2,00:00:04,0.00%,0,$0.00
Lithuania,1,100.00%,1,0.00%,3,00:01:04,0.00%,0,$0.00
Norway,1,100.00%,1,0.00%,4,00:03:55,0.00%,0,$0.00
Pakistan,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Qatar,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Singapore,1,100.00%,1,0.00%,2,00:04:13,0.00%,0,$0.00
Turkey,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Taiwan,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Ukraine,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00
Zimbabwe,1,100.00%,1,0.00%,2,00:00:06,0.00%,0,$0.00
,870,66.32%,577,57.24%,1.66,00:01:28,0.00%,0,$0.00
